Index,Sample,SiteN,Site,Sitecode,Spp,Date,Month,Year,Collector,Al,As,Ca,Cl,Cu,Fe,K,Mg,Mn,Mo,P,Pb,Rb,S,Si,Sr,Th,U,V,Zn
728,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,99.00,44.37,106896.23,870.65,4.20,2.10,2595.46,7952.82,109.44,0.80,342.60,1.40,45.43,14383.22,2283.74,2567.98,10.19,44.77,2.10,12.76
729,Sarg-14,7,Xahuayxol,Xa,Snat I,06/04/2019,Apr,2019,NCT,99.00,40.21,101809.12,765.66,4.20,2.10,2122.60,2061.60,96.19,0.80,308.12,1.40,41.34,13671.44,1965.59,2244.79,9.61,41.80,6.21,10.87
730,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,200.72,35.40,136146.31,5922.96,4.20,2.10,4608.41,7626.13,79.69,3.25,366.05,1.40,34.38,12247.35,2358.14,2353.33,6.00,19.85,2.10,3.50
731,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,191.08,27.60,91781.37,5202.53,4.20,2.10,4725.84,9158.21,59.97,0.80,308.10,1.40,22.54,11586.55,1795.28,1834.55,3.87,30.75,2.10,3.50
732,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,99.00,35.12,131291.18,6190.48,4.20,2.10,4594.89,6766.76,79.24,2.84,368.22,1.40,31.67,12627.59,2258.97,2289.16,5.99,22.05,2.10,3.50
733,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,230.29,34.72,143437.14,5128.40,4.20,2.10,3931.76,2061.60,50.72,4.11,382.41,1.40,32.44,11692.99,2262.25,2408.55,6.83,23.92,2.10,3.50
734,Sarg-15,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,316.92,35.40,144022.70,5304.94,4.20,2.10,4189.74,4336.89,68.37,3.03,371.91,1.40,37.30,11630.25,2225.19,2325.26,7.31,19.32,5.55,6.84
737,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,219.65,42.64,81083.13,25528.83,4.20,2.10,12936.53,4818.64,77.86,0.80,354.86,1.40,59.47,13211.62,1868.39,1974.29,10.99,20.36,4.40,3.50
738,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,99.00,37.13,62139.81,23164.59,4.20,2.10,12224.23,2061.60,65.39,0.80,308.40,1.40,50.41,12219.04,1716.10,1696.22,9.50,30.18,4.71,3.50
739,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,99.00,43.30,65576.72,29815.63,4.20,2.10,14448.10,2061.60,57.79,0.80,345.72,1.40,62.76,13421.86,1977.48,1968.80,10.99,24.56,2.10,3.50
740,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,99.00,43.71,72980.10,29354.48,4.20,2.10,14294.99,2061.60,58.92,0.80,355.82,1.40,60.42,14055.83,1862.97,2005.81,11.02,21.18,2.10,3.50
741,Sarg-16,7,Xahuayxol,Xa,Sflu III,05/05/2019,May,2019,NCT,733.09,37.79,64807.42,24140.36,4.20,2.10,12213.84,12166.75,55.49,0.80,295.38,1.40,51.81,12487.59,1609.60,1683.75,10.10,32.08,2.10,3.50
742,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,59.94,104191.58,5729.10,4.20,2.10,14403.62,4706.63,79.45,7.14,361.81,1.40,36.07,15065.41,2457.55,2232.95,7.33,17.52,2.10,3.50
743,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,283.89,58.13,85915.19,3792.03,4.20,2.10,14434.09,7250.97,71.40,2.33,378.52,1.40,32.41,15985.69,2475.96,1935.61,3.74,29.59,5.52,3.50
744,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,56.93,72777.18,4849.73,4.20,2.10,16597.13,5721.20,71.53,4.16,353.88,1.40,30.04,17886.72,2450.18,1971.32,6.02,24.95,2.10,3.50
745,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,58.83,84985.66,3961.85,4.20,2.10,16066.03,4897.29,86.49,6.67,370.58,1.40,33.55,16396.73,2660.36,2126.91,5.55,19.97,2.10,3.50
746,Sarg-17,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,66.43,106826.24,5218.80,4.20,2.10,14939.82,5076.42,76.06,7.02,385.88,1.40,39.40,15698.48,2559.23,2181.89,5.69,14.51,2.10,3.50
747,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,57.64,89027.38,15020.05,4.20,2.10,12779.58,5012.39,77.77,4.10,376.43,1.40,33.29,14620.55,1801.40,2095.63,5.64,19.12,2.10,3.50
748,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,60.02,72836.15,18094.37,4.20,2.10,14349.90,14121.26,76.27,2.57,386.70,1.40,34.56,16858.53,1967.71,2289.37,6.57,28.51,5.59,3.50
749,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,187.85,61.58,84270.76,16696.96,4.20,2.10,13570.25,3388.06,78.06,3.53,339.37,1.40,32.29,14386.10,1747.35,1977.74,6.23,24.37,2.10,3.50
750,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,99.00,59.51,79829.49,16585.71,4.20,2.10,14087.39,2061.60,69.54,4.62,376.87,1.40,33.68,15798.02,1884.85,2171.07,5.69,20.06,2.10,3.50
751,Sarg-18,8,Xcalak,Xc,Sflu III,03/05/2019,May,2019,NCT,218.94,61.64,102601.78,14412.47,4.20,2.10,12061.99,3762.83,66.12,6.00,376.45,1.40,33.66,13610.46,1736.58,2036.73,6.15,17.77,2.10,3.50
752,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,641.96,32.84,109881.05,1995.37,4.20,2.10,3837.38,7066.21,92.26,0.80,338.93,1.40,48.28,14344.30,2084.51,2409.77,11.15,32.72,14.02,12.53
753,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,332.29,31.35,89040.18,1735.20,4.20,2.10,3253.78,4561.22,87.64,0.80,306.29,1.40,39.41,13591.15,2026.40,2100.20,9.78,43.32,10.05,12.08
754,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,507.59,36.55,113691.36,1830.56,4.20,2.10,3496.26,2061.60,90.54,0.80,344.44,1.40,51.85,14671.43,2307.05,2324.54,11.08,34.52,12.58,17.65
755,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,203.71,33.72,97169.62,1762.18,4.20,2.10,3619.90,2061.60,94.00,0.80,336.00,1.40,47.64,15482.29,2246.26,2316.15,9.62,39.23,14.84,13.73
756,Sarg-02,7,Xahuayxol,Xa,Sflu III,06/04/2019,Apr,2019,NCT,383.45,35.12,109659.01,2001.30,4.20,2.10,3853.88,2061.60,94.50,0.80,333.42,1.40,50.80,14884.96,2215.87,2400.50,12.35,34.64,12.17,15.30
757,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,408.24,60.98,82132.29,15527.40,4.20,2.10,21526.08,11673.56,73.00,0.80,338.59,1.40,77.79,13024.79,1969.11,1969.41,12.59,21.64,6.02,3.50
758,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,99.00,59.41,80592.38,15398.98,4.20,2.10,21326.82,6429.97,79.96,0.80,324.10,1.40,73.31,12658.84,2119.09,1930.59,12.40,26.70,6.26,3.50
759,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,321.44,59.66,81518.34,16297.64,4.20,2.10,22195.20,6484.57,63.69,0.80,338.44,1.40,70.84,13022.04,2201.35,1918.56,12.56,21.38,2.10,3.50
760,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,426.35,59.13,79732.98,15027.85,4.20,2.10,21305.94,5790.36,63.97,0.80,338.57,1.40,79.68,13215.61,2156.94,1938.65,13.64,22.56,5.11,3.50
761,Sarg-20,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,99.00,57.47,67680.23,16723.72,4.20,2.10,22286.06,22202.25,73.16,0.80,315.18,1.40,68.08,13323.50,2087.81,1828.58,11.75,25.42,2.10,3.50
766,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,99.00,47.41,77152.80,7873.65,4.20,2.10,17252.52,2061.60,78.07,0.80,330.55,1.40,63.49,13480.09,2423.15,2146.35,13.67,27.94,5.05,3.50
767,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,222.59,43.00,64390.98,7101.55,4.20,2.10,16650.72,4722.14,95.21,0.80,313.98,1.40,56.28,12956.95,2155.56,2132.27,11.27,38.25,7.25,3.50
768,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,399.12,44.52,83486.12,8584.89,4.20,2.10,16683.69,7358.81,81.81,0.80,333.07,1.40,60.56,13051.10,2345.24,2132.98,11.65,29.04,5.35,3.50
769,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,391.62,43.32,64764.01,8484.72,4.20,2.10,18179.64,5999.82,76.59,0.80,311.76,1.40,57.36,14106.95,2009.82,2054.81,12.05,33.89,6.12,3.50
770,Sarg-22,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,583.77,45.80,77110.06,7979.21,4.20,2.10,17485.64,6609.59,95.30,0.80,344.80,1.40,62.98,13613.27,2396.25,2142.10,12.96,29.53,5.64,3.50
771,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,188.92,58.68,93931.81,13264.80,4.20,5.13,19666.09,6843.51,77.75,0.80,349.86,1.40,63.59,12637.99,2511.24,1936.96,11.83,21.86,5.64,3.50
772,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,99.00,48.84,65194.08,12112.26,4.20,2.10,18330.33,16774.04,50.79,0.80,284.41,1.40,48.27,11450.15,1925.00,1535.03,10.09,32.03,5.92,3.50
773,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,421.58,61.41,88666.41,14156.69,4.20,2.10,20710.05,2061.60,69.37,0.80,342.98,1.40,61.59,12938.31,2302.00,1922.47,11.58,20.46,6.23,3.50
774,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,314.20,61.28,89859.14,13555.13,4.20,2.10,20243.49,7185.43,77.49,0.80,342.60,1.40,66.60,12505.85,2376.93,1941.89,11.75,24.50,6.18,3.50
775,Sarg-23,5,Mahahual,Mh,Sflu III,18/05/2019,May,2019,NCT,503.44,58.45,100870.62,11764.51,4.20,2.10,18635.10,12944.07,72.96,0.80,343.60,1.40,63.27,12586.22,2360.13,1939.22,11.17,20.65,2.10,3.50
776,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,99.00,41.45,92192.47,7677.76,4.20,8.55,14877.17,2830.23,106.12,0.80,324.57,1.40,66.14,11639.06,2460.18,2002.82,12.61,27.90,5.65,3.50
777,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,198.35,42.47,77281.16,7862.59,4.20,2.10,16342.94,5958.78,93.76,0.80,316.95,1.40,62.18,12670.07,2300.54,1984.95,13.23,29.70,4.91,3.50
778,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,440.18,42.05,74789.11,7872.43,4.20,8.72,16283.94,3143.41,93.02,0.80,315.73,1.40,64.77,12665.93,2570.66,2024.81,12.42,32.10,4.41,3.50
779,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,454.73,44.84,77211.68,8122.09,4.20,6.92,16446.75,4229.14,96.49,0.80,316.32,1.40,62.28,12783.16,2139.36,1999.80,12.61,30.77,4.17,3.50
780,Sarg-24,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,437.19,41.47,92528.55,8402.18,4.20,8.16,15106.87,2061.60,96.05,0.80,325.11,1.40,60.80,11399.21,2484.49,1925.92,11.68,29.41,6.42,3.50
781,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,551.27,42.07,121565.43,6751.41,4.20,4.22,12263.10,6795.59,93.68,0.80,340.51,1.40,55.14,9435.91,2199.70,1940.68,11.13,25.40,4.26,3.50
782,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,99.00,43.05,92076.48,7790.65,4.20,2.10,14951.82,8188.73,94.43,0.80,314.75,1.40,56.73,11432.05,2246.55,1935.48,10.21,27.88,5.48,3.50
783,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,99.00,39.70,122830.05,6435.92,4.20,2.10,11980.63,3271.85,90.13,0.80,330.14,1.40,55.39,9461.69,2345.90,1931.05,10.19,24.63,2.10,3.50
784,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,500.43,45.97,103780.70,6910.77,4.20,7.64,13678.98,12182.09,81.56,0.80,330.92,1.40,68.63,10291.18,2416.52,2010.78,11.83,26.65,4.48,3.50
785,Sarg-25,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,759.30,39.45,124789.72,6729.83,4.20,4.75,12211.68,10137.21,93.51,0.80,340.55,1.40,54.62,9453.94,2373.68,1947.05,9.56,22.15,2.10,3.50
786,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,470.72,42.15,134267.92,6601.40,4.20,13.35,11399.45,10706.78,91.80,0.80,347.89,1.40,64.06,9307.87,2553.16,1850.37,10.94,19.07,4.81,3.50
787,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,516.99,42.98,131655.76,6830.36,4.20,9.68,11708.52,2778.87,88.49,0.80,351.89,1.40,66.39,9341.04,2482.85,1883.72,11.97,20.74,2.10,3.50
788,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,532.31,43.77,124746.29,7108.78,4.20,14.43,12999.53,5272.14,92.27,0.80,356.41,1.40,66.56,10359.49,2595.80,1865.02,13.72,20.65,5.35,3.50
789,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,574.48,42.37,123581.89,7620.94,4.20,11.11,12869.33,8051.33,86.98,0.80,355.81,1.40,67.46,9830.35,2496.26,1900.13,12.51,20.49,2.10,3.50
790,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,237.80,39.45,105529.74,7468.16,4.20,5.81,13123.81,2061.60,91.08,0.80,324.24,1.40,63.33,10166.37,2384.05,1731.41,10.15,22.23,2.10,3.50
791,Sarg-26,5,Mahahual,Mh,Snat I,18/05/2019,May,2019,NCT,418.27,43.64,136015.53,7061.40,4.20,12.49,11799.23,3846.96,86.53,0.80,354.00,1.40,63.51,9363.11,2670.11,1855.54,11.18,17.05,5.92,3.50
797,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,99.00,40.04,98413.52,6926.06,4.20,2.10,6563.97,2061.60,83.57,4.59,397.07,1.40,30.64,16340.56,2415.38,2259.03,7.04,22.63,2.10,3.50
798,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,99.00,31.74,85484.58,5539.50,4.20,2.10,5388.06,4458.09,57.06,0.80,350.42,1.40,21.84,14825.45,2125.24,1856.50,6.34,30.18,2.10,3.50
799,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,99.00,36.51,106714.23,8338.63,4.20,2.10,6262.63,7487.61,68.64,3.98,393.80,1.40,29.85,16186.34,2358.68,2239.04,5.96,20.26,2.10,3.50
800,Sarg-03,8,Xcalak,Xc,Snat I,03/05/2019,May,2019,NCT,381.20,35.93,84090.38,7772.58,4.20,2.10,6397.70,11604.66,72.41,4.12,382.11,1.40,29.41,17181.94,2310.65,1952.38,5.62,24.74,2.10,3.50
